ID,FREQUENCY,ENABLED,REPORT NAME,API NAME,FILE NAME,URI
86,,FALSE,Generator Portfolio Credit Summary,generatorportfoliocreditsummary,GenPortCr,https://msrs.pjm.com/msrs/browserless.do?
87,weekly,TRUE,Hourly Transmission Congestion Credits,hourlytransmissioncongestioncredits,FTRCr,https://msrs.pjm.com/msrs/browserless.do?
88,,FALSE,Load Response Regulation Credits,loadresponseregulationcredits,LRRegCr,https://msrs.pjm.com/msrs/browserless.do?
89,,FALSE,Load Response Summary (Pre FERC 745 (04.01.2012)),loadresponsesummary(preferc745(04.01.2012)),LRChCr,https://msrs.pjm.com/msrs/browserless.do?
90,,FALSE,Load Response Tier 1 Credits,loadresponsetier1credits,LRTier1Cr,https://msrs.pjm.com/msrs/browserless.do?
91,,FALSE,Load Response Tier 2 Credits,loadresponsetier2credits,LRTier2Cr,https://msrs.pjm.com/msrs/browserless.do?
92,,FALSE,Meter Correction Allocation Charge Summary,metercorrectionallocationchargesummary,MCACh,https://msrs.pjm.com/msrs/browserless.do?
93,,FALSE,Meter Correction Charge Summary,metercorrectionchargesummary,MCCh,https://msrs.pjm.com/msrs/browserless.do?
94,,FALSE,Month-to-Date Bill - Online,month-to-datebill-online,FILENAME ERROR,https://msrs.pjm.com/msrs/browserless.do?
95,monthly,TRUE,Non-Firm PTP Credit Summary,non-firmptpcreditsummary,NFPTPCr,https://msrs.pjm.com/msrs/browserless.do?
96,monthly,TRUE,Operating Reserve Charge Summary,operatingreservechargesummary,ORCh,https://msrs.pjm.com/msrs/browserless.do?
97,,FALSE,Operating Reserve Deviation Summary,operatingreservedeviationsummary,ORDev,https://msrs.pjm.com/msrs/browserless.do?
98,monthly,TRUE,Operating Reserve for Load Response Charge Allocation (Pre FERC 745 (04.01.2012)),operatingreserveforloadresponsechargeallocation(preferc745(04.01.2012)),ORLRCh,https://msrs.pjm.com/msrs/browserless.do?
99,,FALSE,Operating Reserve Generator Credit Details,operatingreservegeneratorcreditdetails,ORGenCrDet,https://msrs.pjm.com/msrs/browserless.do?
100,,FALSE,Operating Reserve Generator Deviations,operatingreservegeneratordeviations,ORGenDev,https://msrs.pjm.com/msrs/browserless.do?
101,,FALSE,Operating Reserve Lost Opportunity Cost Credits,operatingreservelostopportunitycostcredits,ORLOCCr,https://msrs.pjm.com/msrs/browserless.do?
102,monthly,TRUE,Operating Reserve Transaction Credits,operatingreservetransactioncredits,ORTransCr,https://msrs.pjm.com/msrs/browserless.do?
103,,FALSE,Monthly Congestion Credit Summary,monthlycongestioncreditsummary,FILENAME ERROR,https://msrs.pjm.com/msrs/browserless.do?
104,,FALSE,Ramapo PAR Charge Summary,ramapoparchargesummary,RamapoCh,https://msrs.pjm.com/msrs/browserless.do?
105,,FALSE,Reactive Services Charge Summary,reactiveserviceschargesummary,RSvcCh,https://msrs.pjm.com/msrs/browserless.do?
106,,FALSE,Reactive Services Credits,reactiveservicescredits,RSvcCr,https://msrs.pjm.com/msrs/browserless.do?
107,,FALSE,Reactive Svcs Load Recon Charge Summary,reactivesvcsloadreconchargesummary,RSvcRecCh,https://msrs.pjm.com/msrs/browserless.do?
108,monthly,TRUE,Reactive Charge Summary,reactivechargesummary,RSuppCh,https://msrs.pjm.com/msrs/browserless.do?
109,monthly,TRUE,Regulation Credits,regulationcredits,RegCr,https://msrs.pjm.com/msrs/browserless.do?
110,,FALSE,Reg Load Recon Charge Summary,regloadreconchargesummary,RegRecCh,https://msrs.pjm.com/msrs/browserless.do?
111,monthly,TRUE,Regulation Summary,regulationsummary,RegChCr,https://msrs.pjm.com/msrs/browserless.do?
112,,FALSE,Sched 1A Load Recon Charge Summary,sched1aloadreconchargesummary,1ARecCh,https://msrs.pjm.com/msrs/browserless.do?
113,,FALSE,Sched 9 & 10 Load Recon Charge Summary,sched9&10loadreconchargesummary,FILENAME ERROR,https://msrs.pjm.com/msrs/browserless.do?
114,monthly,TRUE,Synchronized Reserve Tier 1 Charge Summary,synchronizedreservetier1chargesummary,SRT1Ch,https://msrs.pjm.com/msrs/browserless.do?
115,monthly,TRUE,Synchronized Reserve Credit Summary,synchronizedreservecreditsummary,SRCr,https://msrs.pjm.com/msrs/browserless.do?
116,,FALSE,Synchronized Reserve Load Recon Charge Summary,synchronizedreserveloadreconchargesummary,SRRecCh,https://msrs.pjm.com/msrs/browserless.do?
117,,FALSE,Synchronized Reserve Obligation Details,synchronizedreserveobligationdetails,SROblDet,https://msrs.pjm.com/msrs/browserless.do?
118,,FALSE,Synchronized Reserve Tier 1 Credits,synchronizedreservetier1credits,SRT1Cr,https://msrs.pjm.com/msrs/browserless.do?
119,,FALSE,Synchronized Reserve Tier 2 Credits,synchronizedreservetier2credits,SRT2Cr,https://msrs.pjm.com/msrs/browserless.do?
120,,FALSE,Synchronous Condensing Charge Summary,synchronouscondensingchargesummary,SCCh,https://msrs.pjm.com/msrs/browserless.do?
121,,FALSE,Synchronous Condensing Credits,synchronouscondensingcredits,SCCr,https://msrs.pjm.com/msrs/browserless.do?
122,,FALSE,Synchronous Condensing Load Recon Charge Summary,synchronouscondensingloadreconchargesummary,SCRecCh,https://msrs.pjm.com/msrs/browserless.do?
123,monthly,TRUE,Transmission Loss Load Recon Credit Summary,transmissionlossloadreconcreditsummary,LossRecCr,https://msrs.pjm.com/msrs/browserless.do?
124,,FALSE,Monthly Billing Statement Recipients,monthlybillingstatementrecipients,BillRecip,https://msrs.pjm.com/msrs/browserless.do?
